cas,substance,standard_ug_l,n_limits,loq_p10,loq_p25,loq_p50,loq_p75,loq_p90,n_limits_recent,loq_p25_recent,loq_p50_recent,loq_p75_recent,recent_from
7440-43-9,Cadmium and its compounds (depending on water hardness classes) ( 9 ),0.08,32024,0.02,0.02,0.05,0.2,1,10757,0.02,0.02,0.05,2020
75-09-2,Dichloromethane,20,20173,0.1,0.5,1,5,10,7601,0.5,0.5,5,2020
79-01-6,Trichloroethylene,10,19329,0.1,0.1,0.5,1,1,7483,0.5,0.5,1,2020
80-05-7,80-05-7,0.00017,2263,0.005,0.01,0.02,0.05,0.5,1194,0.01,0.02,0.5,2020
81103-11-9,Clarithromycin,0.13,1615,0.01,0.01,0.02,0.04,0.04,1049,0.01,0.04,0.04,2020
82657-04-3,Bifenthrin,9.5e-05,1100,0.0005,0.001,0.0025,0.025,0.03,1100,0.001,0.0025,0.025,2020
83905-01-5,Azithromycin,0.019,1214,0.01,0.025,0.04,0.05,0.08,896,0.04,0.04,0.04,2020
85535-84-8,C 10-13 Chloroalkanes (10 ),0.4,6271,0.1,0.1,0.2,0.4,0.6,1207,0.1,0.2,0.3,2020
87-68-3,Hexachlorobutadiene,0.00095,16153,0.005,0.02,0.1,0.1,0.5,5060,0.03,0.1,0.1,2020
87-86-5,Pentachlorophenol,0.4,13268,0.01,0.02,0.05,0.1,0.2,2190,0.02,0.025,0.1,2020
886-50-0,Terbutryn,0.065,15010,0.001,0.005,0.01,0.02,0.05,8622,0.001,0.01,0.02,2020
91-20-3,Naphthalene,2,20189,0.005,0.01,0.02,0.3,0.5,8189,0.01,0.05,0.5,2020
