station_code,country,lat,lon,n_obs
BG3MA00811MS1070,BG,42.20777,24.29607,1
BG3MA00853MS1170,BG,42.50233,23.99687,1
BG3MA00997MS1580,BG,42.27580,23.68503,1
BG3MA01191MS0010,BG,41.76903,26.19185,1
BG3MA05213MS0570,BG,42.14555,24.87723,1
BG3MA08911MS1270,BG,42.65831,24.13799,4
BG3TU00013MS0010,BG,42.05220,26.47327,1
BG3TU00579MS0090,BG,42.39250,26.51528,1
BG3TU00937MS0290,BG,42.54544,25.56118,1
BG4ME00043MS110,BG,41.50149,23.89230,3
BG4ME04733MS030,BG,41.71000,23.70000,2
BG4ST00631MS060,BG,41.42000,23.32000,2
BG4ST00641MS770,BG,41.43503,23.25198,1
BG4ST00649MS250,BG,41.39000,22.97000,1
BG4ST00681MS090,BG,42.49000,22.75000,1
BG4ST06571MS180,BG,42.03494,23.03694,1
BG4ST06731MS160,BG,42.25624,22.85310,2
CHRW-2078,CH,47.58990,7.58930,1
CHRW-6315,CH,47.18098,7.56432,1
CY3-7-11-R3-O1,CY,35.13160,33.08080,5
CY6-1-21-R3-O1,CY,35.09130,33.28050,1
CY6-1-51-R3-O1,CY,35.12320,33.38220,2
CY6-5-2-R3-O2,CY,35.01960,33.39450,5
CY8-4-1-R3-HM-O2,CY,34.89290,33.53430,2
CYR1-3-5-05,CY,34.92728,32.69967,3
CYR1-4-3-35,CY,34.94089,32.61124,1
CYR3-3-3-95,CY,35.03690,32.89530,1
CYR3-5-4-40,CY,35.06652,33.01941,7
CYR3-7-3-71,CY,35.01191,33.15459,1
CYR6-5-1-85,CY,34.99482,33.33499,1
CYR8-7-2-60,CY,34.87759,33.33779,2
CYR8-9-5-40,CY,34.81830,33.24133,9
CYR9-4-3-80,CY,34.74549,32.97454,2
CYR9-6-3-36,CY,34.91222,32.94329,1
CYR9-6-4-92,CY,34.77005,32.91140,4
CZ1077,CZ,49.30560,13.15140,3
CZ1133,CZ,49.61351,17.25316,2
CZ1145,CZ,49.88712,18.16341,1
CZ1154,CZ,49.74810,18.29360,1
CZ1158,CZ,49.93080,18.42080,1
CZ3311,CZ,49.58440,15.93440,1
CZ3813,CZ,49.76626,13.40200,2
CZPLA-1,CZ,50.57280,15.63873,11
CZPLA-10,CZ,50.20653,15.95582,33
CZPLA-101,CZ,50.66487,15.59350,2
CZPLA-102,CZ,50.54978,15.69657,2
CZPLA-103,CZ,50.54146,15.72613,3
CZPLA-104,CZ,50.51581,15.75180,7
CZPLA-105,CZ,50.50373,15.74276,6
CZPLA-106,CZ,50.59494,15.87760,3
CZPLA-107,CZ,50.57640,15.96148,1
CZPLA-108,CZ,50.50643,16.02565,4
CZPLA-111,CZ,50.41096,16.05648,4
CZPLA-112,CZ,50.52212,16.21509,8
CZPLA-114,CZ,50.49375,16.22821,3
CZPLA-115,CZ,50.49085,16.18312,3
CZPLA-117,CZ,50.28862,15.82899,1
CZPLA-119,CZ,50.09671,16.46068,7
CZPLA-12,CZ,50.09477,15.80663,34
CZPLA-120,CZ,50.09686,16.29950,13
CZPLA-121,CZ,,,9
CZPLA-122,CZ,50.13005,16.18583,6
CZPLA-123,CZ,50.03704,16.60132,12
CZPLA-124,CZ,49.98870,16.39654,13
CZPLA-125,CZ,49.96533,16.39857,5
CZPLA-128,CZ,49.88696,16.25929,5
CZPLA-129,CZ,49.88526,16.25712,6
CZPLA-131,CZ,,,15
CZPLA-132,CZ,49.80277,15.74217,6
CZPLA-134,CZ,49.89199,15.82144,7
CZPLA-135,CZ,49.97757,15.84482,2
CZPLA-137,CZ,49.95552,15.93973,3
CZPLA-138,CZ,49.98695,15.86887,2
CZPLA-140,CZ,49.70391,15.73107,1
CZPLA-141,CZ,49.81730,15.59552,6
CZPLA-142,CZ,49.88775,15.48922,1
CZPLA-143,CZ,49.97593,15.39031,1
CZPLA-145,CZ,49.96636,15.31289,5
