scope,key,n,samples,samples_below,below_loq,loq_gt_30pct_eqs,below_loq_no_loq,no_loq_any,qc_loq_unknown,declared_and_bounded,declared_not_bounded,undeclared_but_bounded,silent,has_eqs,loq_gt_eqs,censored,censored_with_value
substance,Hexachlorobutadiene,18375,139991,103792,16083,16110,33,2127,2127,16242,0,6,2127,18375,15792,15937,15916
substance,Aluminium and its compounds,17861,134415,30680,7402,0,0,7299,7299,10562,0,0,7299,0,0,4866,4856
substance,Toluene,17760,109370,92887,16542,0,19,1138,1138,16609,0,13,1138,0,0,16182,16182
substance,Beta-HCH,17693,130240,94994,15575,0,0,1767,1767,15909,0,17,1767,0,0,15087,14925
substance,Heptachlor,17479,114168,96468,16189,0,0,1209,1209,16262,0,8,1209,0,0,16121,16121
substance,Selenium and its compounds,16903,124502,83128,14150,0,0,617,617,16282,0,4,617,0,0,12525,12517
substance,Pentachlorobenzene,16730,135894,112002,15295,6195,43,1130,1130,15597,0,3,1130,16730,3850,15162,14889
substance,"1,2,4-trichlorobenzene",16611,123415,99894,15140,0,0,1099,1099,15500,0,12,1099,0,0,15045,14883
substance,Beta-Endosulfan,16607,116620,94198,15357,0,0,986,986,15616,0,5,986,0,0,15264,15102
substance,Linuron,16501,130844,98397,14353,0,53,1918,1918,14564,0,19,1918,0,0,13949,13949
substance,Hydrogen Carbonate (Bicarbonate) HCO3,16459,95324,6819,1207,0,0,8574,0,7885,1437,0,7137,0,0,560,560
substance,"1,2,3-trichlorobenzene",15960,116058,97212,14780,0,0,855,855,15098,0,7,855,0,0,14730,14568
substance,MCPA,15847,124454,98647,14767,0,167,1023,1023,14805,0,19,1023,0,0,12686,12685
substance,Total organic nitrogen,15592,131060,56,48,0,0,14345,0,1247,669,0,13676,0,0,28,28
substance,Dichlorvos,15397,112700,92374,14202,14201,0,1160,1160,14216,0,21,1160,15397,11370,14137,14137
substance,Terbutryn,15393,102756,89065,14547,5539,0,376,376,15017,0,0,376,15393,815,13417,13417
substance,"1,3,5-trichlorobenzene",15343,112153,95179,14271,0,0,741,741,14584,0,18,741,0,0,14241,14079
substance,Pentachlorophenol,15233,122028,93130,13246,2243,9,1869,1869,13352,0,12,1869,15233,988,13075,12891
substance,Delta-HCH,15162,112452,90420,14191,0,0,739,739,14417,0,6,739,0,0,14048,13887
