substance,cas,annex_i_category,eu_aa_eqs_ug_l,station_years,station_years_with_eqs,below_loq,no_flag_no_limit,loq_above_eqs,loq_above_30pct_eqs,pct_failing_legal_criterion
"BDE 28 (2,4,4'-tribromodiphenyl ether)",,,,4590,0,4477,31,0,0,
4-chlorotoluene,,,,4502,0,3936,566,0,0,
"1,1-dichloroethane",,,,4482,0,3918,549,0,0,
"2,4,5-T",,,,4429,0,3849,573,0,0,
Phosalone,,,,4414,0,4111,303,0,0,
Total cyanide,,,,4390,0,3935,373,0,0,
Isopropylbenzene,,,,4376,0,4307,69,0,0,
Propyzamide,,,,4375,0,3992,358,0,0,
Tebuconazole,,,,4347,0,4322,0,0,0,
Endosulfan,,,,4341,4341,3516,791,797,1605,36.97
Alpha-Chlordan,,,,4329,0,4329,0,0,0,
Trans-chlordane,,,,4329,0,4329,0,0,0,
Terbumeton,,,,4285,0,3836,449,0,0,
Total nitrogen to total phosphorus ratio,,,,4231,0,0,4231,0,0,
Ethoprophos,,,,4185,0,4185,0,0,0,
Ethion,,,,4162,0,4162,0,0,0,
Xylene,,,,4161,0,3752,406,0,0,
"trans-1,2-dichloroethene",,,,4161,0,4085,69,0,0,
Carbonate,,,,4135,0,4050,0,0,0,
Epsilon-HCH,,,,4001,0,3882,112,0,0,
Trichlorobenzenes (all isomers),,,,3986,0,3120,860,0,0,
Propiconazole,,,,3954,0,3470,331,0,0,
"cis-1,2-dichloroethene",,,,3939,0,3756,138,0,0,
"1,1-dichloroethene",,,,3897,0,3737,152,0,0,
Silver,,,,3872,3872,3719,76,3369,3796,98.04
"1,2-dibromoethane",,,,3869,0,3525,344,0,0,
Acetochlor,,,,3779,0,3456,266,0,0,
Procymidone,,,,3722,0,3722,0,0,0,
"1,1,2-trichloroethane",,,,3624,0,3472,150,0,0,
Pirimiphos-methyl,,,,3601,0,3600,0,0,0,
Dicamba,,,,3589,0,3377,198,0,0,
Thiamethoxam,,,,3540,3540,3530,1,111,1294,36.55
Omethoate,,,,3520,0,3128,392,0,0,
Ethofumesate,,,,3438,0,3117,312,0,0,
Total dissolved solids,,,,3328,0,2,0,0,0,
Styrene,,,,3324,0,3243,81,0,0,
Mevinphos,,,,3301,0,3301,0,0,0,
Ethanimidamide,,,,3181,3181,3136,2,115,1025,32.22
Desmetryn,,,,3140,0,2999,141,0,0,
Perfluorooctane sulfonic acid (PFOS) and its derivatives,,,,3097,0,2847,1,0,0,
Phenols,,,,3051,0,572,2348,0,0,
Myclobutanil,,,,2974,0,2974,0,0,0,
Clothianidin,,,,2963,2963,2956,0,1081,2962,99.97
Dichlorobenzene,,,,2949,0,2813,136,0,0,
Secbumeton,,,,2931,0,2739,192,0,0,
Pyrimethanil,,,,2913,0,2886,0,0,0,
Permethrin-cis+trans,,,,2895,2895,2457,255,2623,2623,90.60
Diclofenac,,,,2859,2859,1880,6,678,1584,55.40
Carbofuran,,,,2856,0,2357,447,0,0,
Lenacil,,,,2772,0,2561,200,0,0,
Dichlobenil,,,,2768,0,2327,377,0,0,
"cis-1,3-dichloropropene",,,,2753,0,2753,0,0,0,
AOX,,,,2697,0,132,13,0,0,
Silicate,,,,2688,0,8,2281,0,0,
Chlordane,,,,2650,0,2228,422,0,0,
"Total DDT (DDT, p,p' + DDT, o,p' + DDE, p,p' + DDD, p,p')",,,,2593,0,2501,88,0,0,
Fenthion,,,,2547,0,2547,0,0,0,
Chlorinated benzene,,,,2540,0,2540,0,0,0,
"1,2-dichloropropane",,,,2509,0,2440,69,0,0,
Cadusafos,,,,2473,0,2473,0,0,0,
Phenol,,,,2458,0,2440,11,0,0,
Octylphenol,,,,2452,0,2370,46,0,0,
"1,1,2,2-tetrachloroethane",,,,2422,0,2407,15,0,0,
MCPB,,,,2380,0,2245,128,0,0,
Fenpropimorph,,,,2337,0,2324,6,0,0,
Bisphenol A,,,,2316,2316,2190,44,2263,2263,97.71
2-chlorotoluene,,,,2315,0,2168,147,0,0,
Uranium,,,,2313,0,1215,294,0,0,
Epoxiconazole,,,,2300,0,2299,0,0,0,
Chromium (VI),,,,2296,0,2291,0,0,0,
"2,6-dichlorobenzamide",,,,2278,0,2166,102,0,0,
Strontium,,,,2269,0,549,148,0,0,
Tri-allate,,,,2266,0,2266,0,0,0,
Detergents,,,,2253,0,131,1966,0,0,
Diflufenican,,,,2235,0,2148,2,0,0,
"trans-1,3-dichloropropene",,,,2230,0,2230,0,0,0,
Hydroxyterbuthylazine,,,,2223,0,1685,0,0,0,
Bromobenzene,,,,2199,0,2199,0,0,0,
Dimethachlor,,,,2196,0,2196,0,0,0,
Hydroxyatrazine,,,,2142,0,1842,0,0,0,
Clopyralid,,,,2126,0,2051,66,0,0,
Metolachlor OA,,,,2093,0,1817,0,0,0,
Metolachlor ESA,,,,2090,0,1157,0,0,0,
Acetochlor ESA,,,,2085,0,1743,0,0,0,
Acetochlor OA,,,,2085,0,2039,0,0,0,
Alachlor ESA,,,,2083,0,1329,0,0,0,
Alachlor OA,,,,2083,0,2073,0,0,0,
Prometon,,,,2071,0,1909,162,0,0,
PFOA,,,,2042,0,1997,3,0,0,
Ammonia,,,,2041,0,1956,0,0,0,
Methamidophos,,,,2035,0,1672,363,0,0,
n-propylbenzene,,,,2023,0,2023,0,0,0,
Chlorsulfuron,,,,1957,0,1937,12,0,0,
Chloroethene (vinylchloride),,,,1946,0,1807,138,0,0,
Demeton-S-methyl,,,,1922,0,1445,477,0,0,
Fenchlorphos,,,,1857,0,1857,0,0,0,
Bromoxynil,,,,1851,0,1707,142,0,0,
Methiocarb,,,,1849,0,1849,0,0,0,
"1,3,5-trimethylbenzene",,,,1842,0,1842,0,0,0,
"1,1,1,2-tetrachloroethane",,,,1838,0,1838,0,0,0,
Metazachlor ESA,,,,1800,0,665,0,0,0,
Benfluralin,,,,1761,0,1431,330,0,0,
Sebuthylazine,,,,1754,0,1644,109,0,0,
sec-butylbenzene,,,,1682,0,1682,0,0,0,
Pentabromodiphenylether,,,,1676,0,1163,99,0,0,
n-butylbenzene,,,,1676,0,1676,0,0,0,
Carbamazepin,,,,1644,1644,891,7,0,0,0.00
Clarithromycin,,,,1617,1617,1438,2,113,633,39.15
Dibutyltin,,,,1614,0,1325,187,0,0,
Trichlorofluoromethane,,,,1589,0,1534,55,0,0,
Ibuprofen,,,,1584,1584,1125,0,0,104,6.57
"2,4,6-trichlorophenol",,,,1568,0,1412,156,0,0,
EDTA,,,,1565,0,628,12,0,0,
"2,4,5-trichlorophenol",,,,1560,0,1430,130,0,0,
4-methyl-phenol,,,,1548,0,1548,0,0,0,
NTA,,,,1548,0,1295,0,0,0,
Pyridate,,,,1525,0,1390,128,0,0,
Metazachlor OA,,,,1505,0,798,0,0,0,
"4-nonylphenol, branched",,,,1494,0,1283,20,0,0,
"1,2,4-trimethylbenzene",,,,1467,0,1467,0,0,0,
"PCB 118 (2,3’,4,4’,5-pentachlorobiphenyl)",,,,1432,0,1171,148,0,0,
4-Isopropylaniline,,,,1409,0,1409,0,0,0,
"2,3,4,5-tetrachlorophenol",,,,1396,0,1396,0,0,0,
Erythromycin,,,,1374,1374,1368,0,91,99,7.21
Nicosulfuron,,,,1360,1360,1348,0,1204,1311,96.40
Musk xylene,,,,1349,0,1349,0,0,0,
2-methyl-phenol,,,,1318,0,1318,0,0,0,
2-naphthol,,,,1317,0,1292,25,0,0,
"1,3-dichloropropane",,,,1299,0,1299,0,0,0,
"1,1-dichloropropene",,,,1289,0,1289,0,0,0,
Chloridazon methyl desphenyl,,,,1285,0,902,0,0,0,
Triclosan,,,,1278,1278,1274,0,328,1116,87.32
4-isopropyltoluene,,,,1263,0,1263,0,0,0,
Quintozene,,,,1257,0,1126,124,0,0,
tert-butylbenzene,,,,1249,0,1249,0,0,0,
Chlordecone (Kepone),,,,1245,0,1059,179,0,0,
