lon,lat,country,country_pct_silent
15.82144,49.89199,CZ,3.337
15.84482,49.97757,CZ,3.337
15.93973,49.95552,CZ,3.337
15.86887,49.98695,CZ,3.337
15.73107,49.70391,CZ,3.337
15.59552,49.81730,CZ,3.337
15.48922,49.88775,CZ,3.337
15.39031,49.97593,CZ,3.337
15.31289,49.96636,CZ,3.337
15.67876,50.25652,CZ,3.337
15.61820,50.03330,CZ,3.337
15.16047,50.27934,CZ,3.337
15.18826,50.27114,CZ,3.337
15.00953,50.15172,CZ,3.337
15.35035,50.01996,CZ,3.337
15.46513,50.63061,CZ,3.337
15.33163,50.59129,CZ,3.337
15.22160,50.78477,CZ,3.337
15.30820,50.73598,CZ,3.337
15.30789,50.73915,CZ,3.337
15.14883,50.57773,CZ,3.337
15.04707,50.55059,CZ,3.337
14.97843,50.55970,CZ,3.337
15.30315,50.02315,CZ,3.337
14.94172,50.47008,CZ,3.337
14.90118,50.40753,CZ,3.337
14.57967,50.22734,CZ,3.337
14.54942,50.27681,CZ,3.337
14.46685,50.30192,CZ,3.337
15.02574,50.78655,CZ,3.337
14.96474,50.81701,CZ,3.337
15.14379,50.89466,CZ,3.337
15.11913,50.90566,CZ,3.337
15.09064,50.92727,CZ,3.337
15.39739,50.76161,CZ,3.337
15.06301,50.18727,CZ,3.337
15.46369,50.63198,CZ,3.337
15.91213,49.95967,CZ,3.337
15.30030,50.63345,CZ,3.337
15.51936,50.63277,CZ,3.337
15.30020,50.63419,CZ,3.337
14.83548,50.18035,CZ,3.337
14.49606,50.31138,CZ,3.337
14.18654,50.72533,CZ,3.337
14.23430,50.88745,CZ,3.337
14.23436,50.88711,CZ,3.337
15.06070,50.57152,CZ,3.337
14.87611,50.39643,CZ,3.337
15.36524,50.14121,CZ,3.337
15.93065,50.38785,CZ,3.337
15.84232,50.08531,CZ,3.337
15.06455,50.74649,CZ,3.337
15.05730,50.76542,CZ,3.337
14.77527,50.24914,CZ,3.337
15.24178,50.12738,CZ,3.337
15.90665,50.03667,CZ,3.337
16.31434,50.23828,CZ,3.337
14.19808,50.52536,CZ,3.337
15.62161,50.02953,CZ,3.337
15.33525,49.87554,CZ,3.337
14.06208,50.53934,CZ,3.337
15.17551,50.05700,CZ,3.337
15.96020,50.57473,CZ,3.337
14.04975,50.63631,CZ,3.337
15.91105,50.67861,CZ,3.337
15.83581,50.54023,CZ,3.337
15.78624,50.68076,CZ,3.337
15.79407,50.67654,CZ,3.337
15.96530,50.57910,CZ,3.337
15.96076,50.52901,CZ,3.337
15.41125,50.77781,CZ,3.337
15.05614,50.63586,CZ,3.337
14.98694,50.62669,CZ,3.337
16.70581,50.09361,CZ,3.337
15.10575,50.73467,CZ,3.337
16.19892,50.44937,CZ,3.337
16.57941,50.14211,CZ,3.337
16.28790,50.17046,CZ,3.337
15.91128,50.36683,CZ,3.337
16.05082,49.87753,CZ,3.337
15.53203,49.81040,CZ,3.337
15.64726,50.25023,CZ,3.337
14.82351,50.85454,CZ,3.337
15.06065,49.90502,CZ,3.337
15.03312,51.01453,CZ,3.337
15.98117,50.19748,CZ,3.337
15.95656,49.84635,CZ,3.337
15.28530,50.00815,CZ,3.337
15.00659,50.04123,CZ,3.337
15.02829,50.03527,CZ,3.337
15.49519,50.19173,CZ,3.337
15.54767,50.17726,CZ,3.337
15.04111,50.18350,CZ,3.337
15.01084,50.15971,CZ,3.337
14.95118,50.20468,CZ,3.337
15.93120,50.35608,CZ,3.337
14.79498,50.16240,CZ,3.337
16.50906,49.84202,CZ,3.337
14.23238,50.79163,CZ,3.337
16.40393,50.55053,CZ,3.337
16.20205,50.03331,CZ,3.337
15.83217,50.21902,CZ,3.337
16.05955,50.28691,CZ,3.337
16.40734,50.58671,CZ,3.337
15.79626,50.01496,CZ,3.337
15.54489,50.37377,CZ,3.337
15.92596,50.34142,CZ,3.337
15.40649,50.77366,CZ,3.337
15.51999,50.23825,CZ,3.337
15.44145,50.51818,CZ,3.337
15.12691,50.21345,CZ,3.337
16.55816,49.99156,CZ,3.337
16.14218,50.06527,CZ,3.337
15.82747,50.21318,CZ,3.337
15.13431,50.23428,CZ,3.337
16.49748,50.03298,CZ,3.337
16.47735,50.14776,CZ,3.337
16.19760,50.13903,CZ,3.337
16.70824,50.08655,CZ,3.337
16.25921,50.29569,CZ,3.337
16.14913,50.29378,CZ,3.337
15.86302,49.74546,CZ,3.337
15.49706,49.87138,CZ,3.337
15.41037,49.89085,CZ,3.337
14.82713,50.87153,CZ,3.337
15.39619,50.76275,CZ,3.337
15.85997,49.86978,CZ,3.337
16.14652,50.12207,CZ,3.337
15.69465,50.48352,CZ,3.337
16.39988,50.18974,CZ,3.337
15.29302,50.80768,CZ,3.337
16.07618,50.12400,CZ,3.337
16.97612,49.75564,CZ,3.337
17.27062,49.52982,CZ,3.337
16.94652,49.74561,CZ,3.337
17.16264,49.71823,CZ,3.337
17.26497,49.39514,CZ,3.337
17.33882,49.33093,CZ,3.337
17.90728,49.50165,CZ,3.337
18.00763,49.47430,CZ,3.337
17.52160,49.20902,CZ,3.337
17.42601,49.04677,CZ,3.337
16.61823,48.95027,CZ,3.337
16.61746,49.04468,CZ,3.337
16.57251,48.92784,CZ,3.337
16.35212,49.11116,CZ,3.337
16.37874,49.08607,CZ,3.337
16.38141,48.74377,CZ,3.337
16.97093,48.71759,CZ,3.337
16.46628,48.82416,CZ,3.337
16.61979,49.09408,CZ,3.337
16.63098,49.14763,CZ,3.337
15.99148,49.20937,CZ,3.337
17.09347,48.95757,CZ,3.337
16.87239,49.95144,CZ,3.337
17.32006,49.35311,CZ,3.337
16.95792,50.07663,CZ,3.337
16.93182,49.91247,CZ,3.337
16.91279,49.86105,CZ,3.337
17.97033,49.44424,CZ,3.337
17.32850,49.42821,CZ,3.337
17.31105,48.91061,CZ,3.337
16.36433,49.40047,CZ,3.337
15.47304,48.95678,CZ,3.337
16.83268,48.81764,CZ,3.337
17.32342,49.59401,CZ,3.337
17.21104,48.88515,CZ,3.337
16.92309,49.88765,CZ,3.337
16.31681,49.08558,CZ,3.337
16.98913,48.68750,CZ,3.337
16.88532,48.72350,CZ,3.337
16.43920,49.33131,CZ,3.337
16.45886,49.25349,CZ,3.337
16.63370,49.40699,CZ,3.337
16.77937,49.40559,CZ,3.337
16.75401,49.17385,CZ,3.337
16.67541,49.06693,CZ,3.337
16.92001,48.98269,CZ,3.337
16.61179,49.01847,CZ,3.337
17.09419,48.95728,CZ,3.337
17.51089,48.81988,CZ,3.337
15.38783,49.02964,CZ,3.337
15.35896,48.99127,CZ,3.337
17.39512,49.27491,CZ,3.337
17.50331,49.21841,CZ,3.337
16.88348,49.69496,CZ,3.337
17.18524,49.43546,CZ,3.337
17.14891,49.32452,CZ,3.337
17.76338,49.52118,CZ,3.337
16.62793,49.86935,CZ,3.337
16.65106,49.84982,CZ,3.337
16.66850,49.76403,CZ,3.337
16.62169,49.47207,CZ,3.337
16.74755,49.68031,CZ,3.337
16.62791,49.90024,CZ,3.337
16.96438,49.78820,CZ,3.337
16.96690,49.94705,CZ,3.337
15.94098,49.34600,CZ,3.337
16.13490,49.20990,CZ,3.337
